2026-04-30 00:58:04,079 [INFO] ======================================================================
2026-04-30 00:58:04,079 [INFO] S3 LOB ensemble — conds=['C2', 'C3'], n_trials=100, seed_base=1000, n_workers=8, main_steps=1500, warmup=200
2026-04-30 00:58:04,079 [INFO] ======================================================================
2026-04-30 00:58:04,079 [INFO] [parallel] cond=C2 n_seeds=100 n_workers=8 out=/Users/hasegawayuito/Documents/GitHub/speculation-game-info/experiments/YH006_1/data/C2
2026-04-30 01:00:25,840 [INFO] [parallel] C2 seed=1000 done (1/100): runtime=139.4s n_rt=2,820 n_sub=6
2026-04-30 01:02:28,544 [INFO] [parallel] C2 seed=1005 done (2/100): runtime=261.7s n_rt=5,638 n_sub=15
2026-04-30 01:02:43,603 [INFO] [parallel] C2 seed=1002 done (3/100): runtime=277.1s n_rt=3,586 n_sub=10
2026-04-30 01:02:54,535 [INFO] [parallel] C2 seed=1006 done (4/100): runtime=288.0s n_rt=3,818 n_sub=11
2026-04-30 01:03:02,650 [INFO] [parallel] C2 seed=1001 done (5/100): runtime=296.2s n_rt=2,948 n_sub=19
2026-04-30 01:04:03,748 [INFO] [parallel] C2 seed=1004 done (6/100): runtime=357.2s n_rt=3,784 n_sub=10
2026-04-30 01:06:07,209 [INFO] [parallel] C2 seed=1009 done (7/100): runtime=218.2s n_rt=4,135 n_sub=9
2026-04-30 01:06:17,038 [INFO] [parallel] C2 seed=1010 done (8/100): runtime=212.9s n_rt=4,593 n_sub=12
2026-04-30 01:06:45,296 [INFO] [parallel] C2 seed=1003 done (9/100): runtime=518.7s n_rt=5,220 n_sub=28
2026-04-30 01:07:23,893 [INFO] [parallel] C2 seed=1011 done (10/100): runtime=267.5s n_rt=5,858 n_sub=16
2026-04-30 01:07:44,868 [INFO] [parallel] C2 seed=1007 done (11/100): runtime=578.3s n_rt=3,945 n_sub=19
2026-04-30 01:07:45,930 [INFO] [parallel] C2 seed=1008 done (12/100): runtime=439.8s n_rt=3,278 n_sub=13
2026-04-30 01:09:35,313 [INFO] [parallel] C2 seed=1015 done (13/100): runtime=197.9s n_rt=3,830 n_sub=15
2026-04-30 01:10:03,843 [INFO] [parallel] C2 seed=1016 done (14/100): runtime=198.2s n_rt=3,404 n_sub=13
2026-04-30 01:10:37,730 [INFO] [parallel] C2 seed=1018 done (15/100): runtime=172.6s n_rt=2,708 n_sub=7
2026-04-30 01:11:54,576 [INFO] [parallel] C2 seed=1014 done (16/100): runtime=347.1s n_rt=3,451 n_sub=16
2026-04-30 01:11:56,767 [INFO] [parallel] C2 seed=1020 done (17/100): runtime=141.0s n_rt=5,634 n_sub=21
2026-04-30 01:12:01,566 [INFO] [parallel] C2 seed=1013 done (18/100): runtime=477.2s n_rt=6,617 n_sub=26
2026-04-30 01:12:27,563 [INFO] [parallel] C2 seed=1021 done (19/100): runtime=143.5s n_rt=2,748 n_sub=13
2026-04-30 01:13:40,348 [INFO] [parallel] C2 seed=1012 done (20/100): runtime=637.3s n_rt=4,648 n_sub=22
2026-04-30 01:15:36,432 [INFO] [parallel] C2 seed=1019 done (21/100): runtime=470.1s n_rt=4,553 n_sub=23
2026-04-30 01:16:03,688 [INFO] [parallel] C2 seed=1024 done (22/100): runtime=246.5s n_rt=5,094 n_sub=21
2026-04-30 01:16:59,716 [INFO] [parallel] C2 seed=1017 done (23/100): runtime=575.5s n_rt=3,522 n_sub=13
2026-04-30 01:17:31,952 [INFO] [parallel] C2 seed=1025 done (24/100): runtime=329.8s n_rt=6,268 n_sub=24
2026-04-30 01:17:40,595 [INFO] [parallel] C2 seed=1026 done (25/100): runtime=312.6s n_rt=4,391 n_sub=15
2026-04-30 01:21:03,868 [INFO] [parallel] C2 seed=1023 done (26/100): runtime=548.7s n_rt=6,166 n_sub=21
2026-04-30 01:21:11,220 [INFO] [parallel] C2 seed=1022 done (27/100): runtime=633.1s n_rt=3,993 n_sub=27
2026-04-30 01:21:24,742 [INFO] [parallel] C2 seed=1031 done (28/100): runtime=232.5s n_rt=3,021 n_sub=8
2026-04-30 01:21:29,818 [INFO] [parallel] C2 seed=1030 done (29/100): runtime=269.6s n_rt=5,494 n_sub=14
2026-04-30 01:22:21,522 [INFO] [parallel] C2 seed=1027 done (30/100): runtime=520.7s n_rt=5,359 n_sub=18
2026-04-30 01:23:49,020 [INFO] [parallel] C2 seed=1029 done (31/100): runtime=465.0s n_rt=3,459 n_sub=13
2026-04-30 01:23:51,584 [INFO] [parallel] C2 seed=1028 done (32/100): runtime=494.7s n_rt=5,513 n_sub=29
2026-04-30 01:24:37,682 [INFO] [parallel] C2 seed=1032 done (33/100): runtime=416.6s n_rt=4,581 n_sub=22
2026-04-30 01:25:26,363 [INFO] [parallel] C2 seed=1034 done (34/100): runtime=254.0s n_rt=3,978 n_sub=11
2026-04-30 01:26:02,823 [INFO] [parallel] C2 seed=1036 done (35/100): runtime=274.6s n_rt=4,162 n_sub=20
2026-04-30 01:26:41,792 [INFO] [parallel] C2 seed=1033 done (36/100): runtime=338.5s n_rt=4,708 n_sub=13
2026-04-30 01:26:51,939 [INFO] [parallel] C2 seed=1039 done (37/100): runtime=181.8s n_rt=4,582 n_sub=19
2026-04-30 01:26:57,315 [INFO] [parallel] C2 seed=1038 done (38/100): runtime=190.0s n_rt=3,264 n_sub=8
2026-04-30 01:27:15,201 [INFO] [parallel] C2 seed=1040 done (39/100): runtime=159.1s n_rt=3,547 n_sub=15
2026-04-30 01:29:37,274 [INFO] [parallel] C2 seed=1045 done (40/100): runtime=159.6s n_rt=4,046 n_sub=15
2026-04-30 01:29:56,349 [INFO] [parallel] C2 seed=1037 done (41/100): runtime=456.4s n_rt=3,378 n_sub=14
2026-04-30 01:30:01,380 [INFO] [parallel] C2 seed=1042 done (42/100): runtime=238.0s n_rt=5,632 n_sub=23
2026-04-30 01:30:35,406 [INFO] [parallel] C2 seed=1035 done (43/100): runtime=551.9s n_rt=6,879 n_sub=24
2026-04-30 01:31:55,035 [INFO] [parallel] C2 seed=1044 done (44/100): runtime=302.6s n_rt=4,387 n_sub=18
2026-04-30 01:34:02,855 [INFO] [parallel] C2 seed=1043 done (45/100): runtime=440.7s n_rt=2,778 n_sub=18
2026-04-30 01:34:19,434 [INFO] [parallel] C2 seed=1050 done (46/100): runtime=223.5s n_rt=3,713 n_sub=11
2026-04-30 01:35:18,049 [INFO] [parallel] C2 seed=1047 done (47/100): runtime=340.0s n_rt=5,953 n_sub=20
2026-04-30 01:35:41,276 [INFO] [parallel] C2 seed=1051 done (48/100): runtime=225.4s n_rt=6,691 n_sub=24
2026-04-30 01:36:19,340 [INFO] [parallel] C2 seed=1041 done (49/100): runtime=654.1s n_rt=5,507 n_sub=20
2026-04-30 01:37:41,183 [INFO] [parallel] C2 seed=1052 done (50/100): runtime=217.9s n_rt=3,188 n_sub=12
2026-04-30 01:38:14,521 [INFO] [parallel] C2 seed=1054 done (51/100): runtime=176.2s n_rt=2,212 n_sub=8
2026-04-30 01:38:30,986 [INFO] [parallel] C2 seed=1053 done (52/100): runtime=251.0s n_rt=4,158 n_sub=18
2026-04-30 01:39:14,497 [INFO] [parallel] C2 seed=1046 done (53/100): runtime=718.8s n_rt=5,144 n_sub=14
2026-04-30 01:39:16,943 [INFO] [parallel] C2 seed=1056 done (54/100): runtime=177.1s n_rt=5,500 n_sub=10
2026-04-30 01:41:29,246 [INFO] [parallel] C2 seed=1059 done (55/100): runtime=178.0s n_rt=2,291 n_sub=6
2026-04-30 01:41:39,621 [INFO] [parallel] C2 seed=1057 done (56/100): runtime=237.7s n_rt=4,761 n_sub=17
2026-04-30 01:41:46,432 [INFO] [parallel] C2 seed=1055 done (57/100): runtime=364.6s n_rt=5,052 n_sub=14
2026-04-30 01:42:20,999 [INFO] [parallel] C2 seed=1048 done (58/100): runtime=744.1s n_rt=4,823 n_sub=25
2026-04-30 01:42:55,237 [INFO] [parallel] C2 seed=1049 done (59/100): runtime=773.4s n_rt=4,163 n_sub=19
2026-04-30 01:44:50,275 [INFO] [parallel] C2 seed=1061 done (60/100): runtime=332.7s n_rt=5,613 n_sub=20
2026-04-30 01:45:08,079 [INFO] [parallel] C2 seed=1064 done (61/100): runtime=201.2s n_rt=4,116 n_sub=18
2026-04-30 01:45:18,922 [INFO] [parallel] C2 seed=1063 done (62/100): runtime=219.0s n_rt=3,181 n_sub=9
2026-04-30 01:45:28,075 [INFO] [parallel] C2 seed=1060 done (63/100): runtime=373.2s n_rt=2,806 n_sub=6
2026-04-30 01:46:08,622 [INFO] [parallel] C2 seed=1062 done (64/100): runtime=279.1s n_rt=3,197 n_sub=3
2026-04-30 01:46:11,739 [INFO] [parallel] C2 seed=1058 done (65/100): runtime=476.9s n_rt=3,787 n_sub=13
2026-04-30 01:47:17,646 [INFO] [parallel] C2 seed=1067 done (66/100): runtime=147.1s n_rt=3,078 n_sub=8
2026-04-30 01:48:16,474 [INFO] [parallel] C2 seed=1068 done (67/100): runtime=188.0s n_rt=3,881 n_sub=7
2026-04-30 01:48:25,747 [INFO] [parallel] C2 seed=1066 done (68/100): runtime=330.1s n_rt=5,162 n_sub=13
2026-04-30 01:49:19,336 [INFO] [parallel] C2 seed=1071 done (69/100): runtime=190.1s n_rt=6,730 n_sub=21
2026-04-30 01:49:48,814 [INFO] [parallel] C2 seed=1073 done (70/100): runtime=150.9s n_rt=3,324 n_sub=14
2026-04-30 01:51:08,089 [INFO] [parallel] C2 seed=1069 done (71/100): runtime=348.9s n_rt=2,882 n_sub=6
2026-04-30 01:51:30,218 [INFO] [parallel] C2 seed=1072 done (72/100): runtime=317.8s n_rt=7,594 n_sub=39
2026-04-30 01:52:12,641 [INFO] [parallel] C2 seed=1076 done (73/100): runtime=173.0s n_rt=3,036 n_sub=9
2026-04-30 01:52:14,452 [INFO] [parallel] C2 seed=1077 done (74/100): runtime=145.4s n_rt=2,728 n_sub=5
2026-04-30 01:52:59,528 [INFO] [parallel] C2 seed=1075 done (75/100): runtime=273.5s n_rt=3,352 n_sub=12
2026-04-30 01:53:27,835 [INFO] [parallel] C2 seed=1070 done (76/100): runtime=479.4s n_rt=3,610 n_sub=9
2026-04-30 01:55:17,772 [INFO] [parallel] C2 seed=1081 done (77/100): runtime=182.9s n_rt=4,625 n_sub=11
2026-04-30 01:55:47,430 [INFO] [parallel] C2 seed=1065 done (78/100): runtime=806.0s n_rt=4,258 n_sub=7
2026-04-30 01:56:23,363 [INFO] [parallel] C2 seed=1082 done (79/100): runtime=203.5s n_rt=3,054 n_sub=6
2026-04-30 01:58:04,754 [INFO] [parallel] C2 seed=1074 done (80/100): runtime=587.8s n_rt=3,972 n_sub=16
2026-04-30 01:58:06,218 [INFO] [parallel] C2 seed=1078 done (81/100): runtime=417.6s n_rt=4,016 n_sub=13
2026-04-30 01:58:16,043 [INFO] [parallel] C2 seed=1084 done (82/100): runtime=177.9s n_rt=3,330 n_sub=10
2026-04-30 01:58:24,115 [INFO] [parallel] C2 seed=1079 done (83/100): runtime=413.6s n_rt=3,617 n_sub=12
2026-04-30 01:59:21,984 [INFO] [parallel] C2 seed=1085 done (84/100): runtime=213.9s n_rt=6,899 n_sub=26
2026-04-30 02:00:44,289 [INFO] [parallel] C2 seed=1089 done (85/100): runtime=147.9s n_rt=3,347 n_sub=10
2026-04-30 02:01:12,192 [INFO] [parallel] C2 seed=1083 done (86/100): runtime=463.8s n_rt=5,839 n_sub=26
2026-04-30 02:01:18,396 [INFO] [parallel] C2 seed=1080 done (87/100): runtime=545.1s n_rt=5,009 n_sub=24
2026-04-30 02:02:17,124 [INFO] [parallel] C2 seed=1091 done (88/100): runtime=174.7s n_rt=4,758 n_sub=15
2026-04-30 02:02:39,683 [INFO] [parallel] C2 seed=1088 done (89/100): runtime=273.1s n_rt=4,602 n_sub=19
2026-04-30 02:03:05,276 [INFO] [parallel] C2 seed=1090 done (90/100): runtime=280.7s n_rt=5,787 n_sub=28
2026-04-30 02:03:34,680 [INFO] [parallel] C2 seed=1087 done (91/100): runtime=329.6s n_rt=4,039 n_sub=12
2026-04-30 02:04:24,354 [INFO] [parallel] C2 seed=1094 done (92/100): runtime=185.6s n_rt=4,465 n_sub=12
2026-04-30 02:04:51,367 [INFO] [parallel] C2 seed=1095 done (93/100): runtime=154.0s n_rt=2,907 n_sub=13
2026-04-30 02:05:28,404 [INFO] [parallel] C2 seed=1093 done (94/100): runtime=255.9s n_rt=2,918 n_sub=12
2026-04-30 02:06:24,108 [INFO] [parallel] C2 seed=1086 done (95/100): runtime=600.5s n_rt=3,515 n_sub=11
2026-04-30 02:06:39,614 [INFO] [parallel] C2 seed=1092 done (96/100): runtime=355.2s n_rt=2,634 n_sub=7
2026-04-30 02:07:10,812 [INFO] [parallel] C2 seed=1097 done (97/100): runtime=245.3s n_rt=4,603 n_sub=15
2026-04-30 02:09:14,089 [INFO] [parallel] C2 seed=1098 done (98/100): runtime=339.2s n_rt=4,081 n_sub=11
2026-04-30 02:09:20,791 [INFO] [parallel] C2 seed=1099 done (99/100): runtime=296.3s n_rt=3,323 n_sub=13
2026-04-30 02:10:23,259 [INFO] [parallel] C2 seed=1096 done (100/100): runtime=463.4s n_rt=5,037 n_sub=16
2026-04-30 02:10:23,320 [INFO] [parallel] cond=C2 all done: total=4341.4s, throughput=0.02 trial/s
2026-04-30 02:10:23,322 [INFO] [parallel] cond=C3 n_seeds=100 n_workers=8 out=/Users/hasegawayuito/Documents/GitHub/speculation-game-info/experiments/YH006_1/data/C3
2026-04-30 02:14:31,842 [INFO] [parallel] C3 seed=1001 done (1/100): runtime=246.2s n_rt=4,896 n_sub=62
2026-04-30 02:14:57,716 [INFO] [parallel] C3 seed=1004 done (2/100): runtime=272.0s n_rt=4,100 n_sub=48
2026-04-30 02:15:09,025 [INFO] [parallel] C3 seed=1003 done (3/100): runtime=283.5s n_rt=3,988 n_sub=52
2026-04-30 02:15:11,916 [INFO] [parallel] C3 seed=1002 done (4/100): runtime=286.4s n_rt=3,528 n_sub=48
2026-04-30 02:17:27,298 [INFO] [parallel] C3 seed=1000 done (5/100): runtime=421.7s n_rt=4,114 n_sub=45
2026-04-30 02:17:39,037 [INFO] [parallel] C3 seed=1009 done (6/100): runtime=160.9s n_rt=4,024 n_sub=43
2026-04-30 02:17:53,614 [INFO] [parallel] C3 seed=1005 done (7/100): runtime=448.0s n_rt=3,973 n_sub=52
2026-04-30 02:18:03,903 [INFO] [parallel] C3 seed=1008 done (8/100): runtime=211.7s n_rt=3,853 n_sub=55
2026-04-30 02:18:30,221 [INFO] [parallel] C3 seed=1006 done (9/100): runtime=484.5s n_rt=5,221 n_sub=55
2026-04-30 02:18:39,798 [INFO] [parallel] C3 seed=1011 done (10/100): runtime=207.6s n_rt=3,133 n_sub=48
2026-04-30 02:18:59,195 [INFO] [parallel] C3 seed=1007 done (11/100): runtime=513.6s n_rt=3,641 n_sub=47
2026-04-30 02:19:17,597 [INFO] [parallel] C3 seed=1010 done (12/100): runtime=248.1s n_rt=5,200 n_sub=58
2026-04-30 02:21:04,888 [INFO] [parallel] C3 seed=1013 done (13/100): runtime=205.4s n_rt=4,577 n_sub=63
2026-04-30 02:21:22,303 [INFO] [parallel] C3 seed=1015 done (14/100): runtime=197.9s n_rt=4,819 n_sub=60
2026-04-30 02:21:53,047 [INFO] [parallel] C3 seed=1016 done (15/100): runtime=202.3s n_rt=5,233 n_sub=59
2026-04-30 02:22:11,246 [INFO] [parallel] C3 seed=1014 done (16/100): runtime=257.3s n_rt=3,624 n_sub=44
2026-04-30 02:24:50,148 [INFO] [parallel] C3 seed=1020 done (17/100): runtime=224.8s n_rt=4,943 n_sub=66
2026-04-30 02:25:03,711 [INFO] [parallel] C3 seed=1018 done (18/100): runtime=364.1s n_rt=3,904 n_sub=42
2026-04-30 02:25:10,609 [INFO] [parallel] C3 seed=1017 done (19/100): runtime=390.4s n_rt=4,321 n_sub=51
2026-04-30 02:25:12,308 [INFO] [parallel] C3 seed=1021 done (20/100): runtime=229.4s n_rt=5,576 n_sub=71
2026-04-30 02:26:00,395 [INFO] [parallel] C3 seed=1019 done (21/100): runtime=402.3s n_rt=3,652 n_sub=40
2026-04-30 02:27:45,364 [INFO] [parallel] C3 seed=1023 done (22/100): runtime=333.6s n_rt=5,615 n_sub=50
2026-04-30 02:28:13,796 [INFO] [parallel] C3 seed=1027 done (23/100): runtime=181.1s n_rt=3,940 n_sub=52
2026-04-30 02:28:24,910 [INFO] [parallel] C3 seed=1025 done (24/100): runtime=200.8s n_rt=3,899 n_sub=49
2026-04-30 02:29:55,356 [INFO] [parallel] C3 seed=1012 done (25/100): runtime=747.5s n_rt=5,044 n_sub=54
2026-04-30 02:30:02,293 [INFO] [parallel] C3 seed=1022 done (26/100): runtime=488.8s n_rt=4,049 n_sub=57
2026-04-30 02:31:39,643 [INFO] [parallel] C3 seed=1024 done (27/100): runtime=408.9s n_rt=5,299 n_sub=51
2026-04-30 02:33:33,552 [INFO] [parallel] C3 seed=1028 done (28/100): runtime=452.5s n_rt=5,679 n_sub=67
2026-04-30 02:33:51,604 [INFO] [parallel] C3 seed=1031 done (29/100): runtime=326.1s n_rt=5,407 n_sub=55
2026-04-30 02:34:07,610 [INFO] [parallel] C3 seed=1026 done (30/100): runtime=536.4s n_rt=5,156 n_sub=48
2026-04-30 02:35:59,201 [INFO] [parallel] C3 seed=1029 done (31/100): runtime=493.4s n_rt=3,890 n_sub=51
2026-04-30 02:36:10,560 [INFO] [parallel] C3 seed=1032 done (32/100): runtime=374.9s n_rt=3,569 n_sub=45
2026-04-30 02:36:34,428 [INFO] [parallel] C3 seed=1035 done (33/100): runtime=180.6s n_rt=3,571 n_sub=69
2026-04-30 02:36:45,470 [INFO] [parallel] C3 seed=1030 done (34/100): runtime=511.1s n_rt=5,391 n_sub=51
2026-04-30 02:37:36,135 [INFO] [parallel] C3 seed=1036 done (35/100): runtime=224.1s n_rt=4,494 n_sub=57
2026-04-30 02:37:39,901 [INFO] [parallel] C3 seed=1037 done (36/100): runtime=211.8s n_rt=4,957 n_sub=60
2026-04-30 02:38:30,554 [INFO] [parallel] C3 seed=1038 done (37/100): runtime=150.8s n_rt=5,680 n_sub=74
2026-04-30 02:38:34,604 [INFO] [parallel] C3 seed=1039 done (38/100): runtime=143.8s n_rt=2,921 n_sub=43
2026-04-30 02:39:17,355 [INFO] [parallel] C3 seed=1033 done (39/100): runtime=554.5s n_rt=6,154 n_sub=71
2026-04-30 02:40:35,931 [INFO] [parallel] C3 seed=1041 done (40/100): runtime=230.1s n_rt=4,440 n_sub=48
2026-04-30 02:41:08,555 [INFO] [parallel] C3 seed=1044 done (41/100): runtime=157.6s n_rt=4,648 n_sub=48
2026-04-30 02:41:37,191 [INFO] [parallel] C3 seed=1034 done (42/100): runtime=597.0s n_rt=6,663 n_sub=59
2026-04-30 02:41:54,072 [INFO] [parallel] C3 seed=1042 done (43/100): runtime=257.5s n_rt=4,529 n_sub=48
2026-04-30 02:42:13,954 [INFO] [parallel] C3 seed=1043 done (44/100): runtime=273.5s n_rt=5,489 n_sub=57
2026-04-30 02:42:51,474 [INFO] [parallel] C3 seed=1045 done (45/100): runtime=256.5s n_rt=4,033 n_sub=45
2026-04-30 02:42:55,494 [INFO] [parallel] C3 seed=1046 done (46/100): runtime=217.7s n_rt=4,510 n_sub=53
2026-04-30 02:43:57,409 [INFO] [parallel] C3 seed=1040 done (47/100): runtime=442.6s n_rt=3,673 n_sub=57
2026-04-30 02:45:09,740 [INFO] [parallel] C3 seed=1048 done (48/100): runtime=240.7s n_rt=5,316 n_sub=76
2026-04-30 02:46:12,689 [INFO] [parallel] C3 seed=1053 done (49/100): runtime=196.7s n_rt=4,944 n_sub=53
2026-04-30 02:46:48,086 [INFO] [parallel] C3 seed=1052 done (50/100): runtime=236.0s n_rt=6,568 n_sub=68
2026-04-30 02:47:08,800 [INFO] [parallel] C3 seed=1051 done (51/100): runtime=294.2s n_rt=7,152 n_sub=68
2026-04-30 02:48:57,863 [INFO] [parallel] C3 seed=1050 done (52/100): runtime=423.4s n_rt=4,327 n_sub=53
2026-04-30 02:49:12,553 [INFO] [parallel] C3 seed=1055 done (53/100): runtime=242.5s n_rt=4,009 n_sub=47
2026-04-30 02:49:36,293 [INFO] [parallel] C3 seed=1056 done (54/100): runtime=203.1s n_rt=5,697 n_sub=60
2026-04-30 02:51:30,471 [INFO] [parallel] C3 seed=1047 done (55/100): runtime=654.0s n_rt=6,041 n_sub=71
2026-04-30 02:52:12,254 [INFO] [parallel] C3 seed=1061 done (56/100): runtime=155.7s n_rt=2,721 n_sub=41
2026-04-30 02:52:18,601 [INFO] [parallel] C3 seed=1054 done (57/100): runtime=500.8s n_rt=4,275 n_sub=59
2026-04-30 02:52:22,459 [INFO] [parallel] C3 seed=1049 done (58/100): runtime=644.8s n_rt=5,074 n_sub=66
2026-04-30 02:52:29,935 [INFO] [parallel] C3 seed=1058 done (59/100): runtime=320.6s n_rt=5,740 n_sub=63
2026-04-30 02:53:47,352 [INFO] [parallel] C3 seed=1057 done (60/100): runtime=419.0s n_rt=2,714 n_sub=24
2026-04-30 02:54:13,455 [INFO] [parallel] C3 seed=1062 done (61/100): runtime=162.6s n_rt=3,985 n_sub=58
2026-04-30 02:55:05,514 [INFO] [parallel] C3 seed=1060 done (62/100): runtime=352.5s n_rt=4,911 n_sub=63
2026-04-30 02:55:46,921 [INFO] [parallel] C3 seed=1066 done (63/100): runtime=196.5s n_rt=5,196 n_sub=47
2026-04-30 02:55:49,065 [INFO] [parallel] C3 seed=1063 done (64/100): runtime=216.3s n_rt=5,464 n_sub=56
