2026-05-14 11:49:21,060 [INFO] ======================================================================
2026-05-14 11:49:21,060 [INFO] S3 LOB ensemble — conds=['C2', 'C3'], n_trials=100, seed_base=1000, n_workers=8, main_steps=1500, warmup=200
2026-05-14 11:49:21,060 [INFO] ======================================================================
2026-05-14 11:49:21,064 [INFO] [guard] LOB determinism check: C3 seed=1000 × 2 runs
2026-05-14 11:52:42,702 [INFO] [guard] trial_1000.parquet: MATCH (a=141d3e374cb2c613... b=141d3e374cb2c613...)
2026-05-14 11:52:42,702 [INFO] [guard] agents_1000.parquet: MATCH (a=e72ce9e8ef894a82... b=e72ce9e8ef894a82...)
2026-05-14 11:52:42,703 [INFO] [guard] lifetimes_1000.parquet: MATCH (a=a698c2d65f1f2c19... b=a698c2d65f1f2c19...)
2026-05-14 11:52:42,703 [INFO] [guard] wealth_ts_1000.parquet: MATCH (a=063979506b9c0ab0... b=063979506b9c0ab0...)
2026-05-14 11:52:42,781 [INFO] [guard] rt_df semantic (np.array_equal on 8 cols): PASS
2026-05-14 11:52:42,782 [INFO] [parallel] cond=C2 n_seeds=100 n_workers=8 out=/Users/hasegawayuito/Documents/GitHub/speculation-game-info/experiments/YH006_1/data/C2
2026-05-14 11:55:20,614 [INFO] [parallel] C2 seed=1000 done (1/100): runtime=155.6s n_rt=4,276 n_sub=14
2026-05-14 11:55:52,492 [INFO] [parallel] C2 seed=1007 done (2/100): runtime=187.4s n_rt=3,984 n_sub=18
2026-05-14 11:55:57,226 [INFO] [parallel] C2 seed=1004 done (3/100): runtime=192.2s n_rt=4,236 n_sub=9
2026-05-14 11:56:31,798 [INFO] [parallel] C2 seed=1006 done (4/100): runtime=226.6s n_rt=5,880 n_sub=20
2026-05-14 11:56:53,692 [INFO] [parallel] C2 seed=1003 done (5/100): runtime=248.6s n_rt=4,353 n_sub=12
2026-05-14 11:57:19,190 [INFO] [parallel] C2 seed=1002 done (6/100): runtime=274.1s n_rt=4,497 n_sub=20
2026-05-14 11:57:55,713 [INFO] [parallel] C2 seed=1009 done (7/100): runtime=122.9s n_rt=3,174 n_sub=2
2026-05-14 11:58:07,325 [INFO] [parallel] C2 seed=1008 done (8/100): runtime=166.3s n_rt=3,966 n_sub=3
2026-05-14 11:59:39,527 [INFO] [parallel] C2 seed=1001 done (9/100): runtime=414.4s n_rt=4,356 n_sub=8
2026-05-14 12:00:46,119 [INFO] [parallel] C2 seed=1015 done (10/100): runtime=158.3s n_rt=3,481 n_sub=8
2026-05-14 12:01:06,113 [INFO] [parallel] C2 seed=1012 done (11/100): runtime=251.9s n_rt=4,281 n_sub=13
2026-05-14 12:01:06,597 [INFO] [parallel] C2 seed=1014 done (12/100): runtime=190.3s n_rt=4,837 n_sub=14
2026-05-14 12:01:12,072 [INFO] [parallel] C2 seed=1011 done (13/100): runtime=279.8s n_rt=4,058 n_sub=16
2026-05-14 12:01:21,374 [INFO] [parallel] C2 seed=1005 done (14/100): runtime=516.3s n_rt=3,395 n_sub=9
2026-05-14 12:01:21,820 [INFO] [parallel] C2 seed=1013 done (15/100): runtime=241.8s n_rt=7,326 n_sub=32
2026-05-14 12:03:32,998 [INFO] [parallel] C2 seed=1020 done (16/100): runtime=140.5s n_rt=3,989 n_sub=11
2026-05-14 12:03:38,051 [INFO] [parallel] C2 seed=1010 done (17/100): runtime=460.3s n_rt=4,619 n_sub=10
2026-05-14 12:05:01,555 [INFO] [parallel] C2 seed=1016 done (18/100): runtime=321.4s n_rt=5,692 n_sub=29
2026-05-14 12:06:12,308 [INFO] [parallel] C2 seed=1022 done (19/100): runtime=290.2s n_rt=3,336 n_sub=13
2026-05-14 12:06:27,951 [INFO] [parallel] C2 seed=1018 done (20/100): runtime=321.4s n_rt=4,657 n_sub=17
2026-05-14 12:07:14,525 [INFO] [parallel] C2 seed=1019 done (21/100): runtime=367.4s n_rt=5,487 n_sub=14
2026-05-14 12:07:51,613 [INFO] [parallel] C2 seed=1025 done (22/100): runtime=169.5s n_rt=5,451 n_sub=21
2026-05-14 12:08:05,219 [INFO] [parallel] C2 seed=1021 done (23/100): runtime=403.2s n_rt=7,152 n_sub=24
2026-05-14 12:10:19,440 [INFO] [parallel] C2 seed=1028 done (24/100): runtime=184.6s n_rt=3,524 n_sub=13
2026-05-14 12:10:36,990 [INFO] [parallel] C2 seed=1026 done (25/100): runtime=264.1s n_rt=6,627 n_sub=23
2026-05-14 12:11:14,359 [INFO] [parallel] C2 seed=1017 done (26/100): runtime=627.9s n_rt=2,865 n_sub=8
2026-05-14 12:11:58,419 [INFO] [parallel] C2 seed=1030 done (27/100): runtime=232.8s n_rt=3,927 n_sub=19
2026-05-14 12:12:08,700 [INFO] [parallel] C2 seed=1024 done (28/100): runtime=510.2s n_rt=4,666 n_sub=16
2026-05-14 12:12:49,323 [INFO] [parallel] C2 seed=1027 done (29/100): runtime=381.0s n_rt=4,259 n_sub=16
2026-05-14 12:14:16,510 [INFO] [parallel] C2 seed=1031 done (30/100): runtime=236.7s n_rt=3,854 n_sub=18
2026-05-14 12:14:41,276 [INFO] [parallel] C2 seed=1034 done (31/100): runtime=162.5s n_rt=3,742 n_sub=11
2026-05-14 12:15:19,197 [INFO] [parallel] C2 seed=1035 done (32/100): runtime=190.2s n_rt=3,170 n_sub=8
2026-05-14 12:16:26,066 [INFO] [parallel] C2 seed=1036 done (33/100): runtime=216.2s n_rt=5,565 n_sub=13
2026-05-14 12:17:14,695 [INFO] [parallel] C2 seed=1032 done (34/100): runtime=397.4s n_rt=3,490 n_sub=9
2026-05-14 12:17:15,330 [INFO] [parallel] C2 seed=1023 done (35/100): runtime=821.8s n_rt=5,691 n_sub=17
2026-05-14 12:18:39,389 [INFO] [parallel] C2 seed=1029 done (36/100): runtime=647.4s n_rt=4,032 n_sub=10
2026-05-14 12:20:49,561 [INFO] [parallel] C2 seed=1039 done (37/100): runtime=330.0s n_rt=3,773 n_sub=11
2026-05-14 12:21:10,325 [INFO] [parallel] C2 seed=1042 done (38/100): runtime=234.7s n_rt=2,602 n_sub=16
2026-05-14 12:22:07,317 [INFO] [parallel] C2 seed=1038 done (39/100): runtime=445.6s n_rt=4,448 n_sub=9
2026-05-14 12:22:54,840 [INFO] [parallel] C2 seed=1037 done (40/100): runtime=517.8s n_rt=5,330 n_sub=17
2026-05-14 12:23:19,233 [INFO] [parallel] C2 seed=1043 done (41/100): runtime=279.3s n_rt=5,440 n_sub=15
2026-05-14 12:23:19,562 [INFO] [parallel] C2 seed=1040 done (42/100): runtime=413.0s n_rt=5,015 n_sub=27
2026-05-14 12:23:34,518 [INFO] [parallel] C2 seed=1041 done (43/100): runtime=379.3s n_rt=5,588 n_sub=17
2026-05-14 12:23:47,838 [INFO] [parallel] C2 seed=1044 done (44/100): runtime=177.7s n_rt=6,185 n_sub=28
2026-05-14 12:25:48,250 [INFO] [parallel] C2 seed=1047 done (45/100): runtime=173.0s n_rt=3,710 n_sub=13
2026-05-14 12:26:22,784 [INFO] [parallel] C2 seed=1050 done (46/100): runtime=167.9s n_rt=3,110 n_sub=12
2026-05-14 12:26:28,320 [INFO] [parallel] C2 seed=1048 done (47/100): runtime=188.6s n_rt=4,863 n_sub=21
2026-05-14 12:26:40,309 [INFO] [parallel] C2 seed=1046 done (48/100): runtime=272.6s n_rt=4,069 n_sub=10
2026-05-14 12:28:03,221 [INFO] [parallel] C2 seed=1045 done (49/100): runtime=412.4s n_rt=5,094 n_sub=19
2026-05-14 12:28:16,154 [INFO] [parallel] C2 seed=1033 done (50/100): runtime=1021.4s n_rt=3,700 n_sub=27
2026-05-14 12:30:21,957 [INFO] [parallel] C2 seed=1053 done (51/100): runtime=238.8s n_rt=4,367 n_sub=22
2026-05-14 12:30:57,234 [INFO] [parallel] C2 seed=1054 done (52/100): runtime=268.6s n_rt=3,531 n_sub=7
2026-05-14 12:31:12,817 [INFO] [parallel] C2 seed=1056 done (53/100): runtime=189.2s n_rt=4,164 n_sub=6
2026-05-14 12:31:33,505 [INFO] [parallel] C2 seed=1049 done (54/100): runtime=493.5s n_rt=4,502 n_sub=18
2026-05-14 12:31:51,563 [INFO] [parallel] C2 seed=1057 done (55/100): runtime=215.0s n_rt=3,977 n_sub=7
2026-05-14 12:32:18,263 [INFO] [parallel] C2 seed=1051 done (56/100): runtime=509.8s n_rt=6,074 n_sub=31
2026-05-14 12:32:47,258 [INFO] [parallel] C2 seed=1052 done (57/100): runtime=418.6s n_rt=4,376 n_sub=9
2026-05-14 12:32:53,419 [INFO] [parallel] C2 seed=1055 done (58/100): runtime=372.6s n_rt=5,321 n_sub=18
2026-05-14 12:33:10,448 [INFO] [parallel] C2 seed=1058 done (59/100): runtime=168.2s n_rt=3,137 n_sub=11
2026-05-14 12:33:16,252 [INFO] [parallel] C2 seed=1059 done (60/100): runtime=138.8s n_rt=2,615 n_sub=10
2026-05-14 12:34:52,547 [INFO] [parallel] C2 seed=1062 done (61/100): runtime=180.6s n_rt=4,366 n_sub=6
2026-05-14 12:35:11,983 [INFO] [parallel] C2 seed=1063 done (62/100): runtime=173.2s n_rt=5,138 n_sub=15
2026-05-14 12:35:25,962 [INFO] [parallel] C2 seed=1060 done (63/100): runtime=252.8s n_rt=3,350 n_sub=10
2026-05-14 12:35:42,311 [INFO] [parallel] C2 seed=1064 done (64/100): runtime=174.7s n_rt=3,339 n_sub=15
2026-05-14 12:35:58,343 [INFO] [parallel] C2 seed=1065 done (65/100): runtime=184.6s n_rt=3,546 n_sub=9
2026-05-14 12:36:02,306 [INFO] [parallel] C2 seed=1066 done (66/100): runtime=171.4s n_rt=4,287 n_sub=11
2026-05-14 12:37:44,710 [INFO] [parallel] C2 seed=1067 done (67/100): runtime=268.1s n_rt=3,702 n_sub=8
2026-05-14 12:37:47,317 [INFO] [parallel] C2 seed=1069 done (68/100): runtime=155.0s n_rt=3,111 n_sub=8
2026-05-14 12:38:15,020 [INFO] [parallel] C2 seed=1068 done (69/100): runtime=202.1s n_rt=4,314 n_sub=27
2026-05-14 12:38:29,026 [INFO] [parallel] C2 seed=1072 done (70/100): runtime=150.3s n_rt=4,281 n_sub=15
2026-05-14 12:38:42,120 [INFO] [parallel] C2 seed=1073 done (71/100): runtime=159.5s n_rt=2,965 n_sub=10
2026-05-14 12:39:02,869 [INFO] [parallel] C2 seed=1061 done (72/100): runtime=449.0s n_rt=3,444 n_sub=12
2026-05-14 12:41:05,865 [INFO] [parallel] C2 seed=1077 done (73/100): runtime=156.4s n_rt=4,710 n_sub=13
2026-05-14 12:41:10,544 [INFO] [parallel] C2 seed=1076 done (74/100): runtime=175.2s n_rt=3,511 n_sub=8
2026-05-14 12:42:56,777 [INFO] [parallel] C2 seed=1071 done (75/100): runtime=433.9s n_rt=5,455 n_sub=23
2026-05-14 12:43:01,616 [INFO] [parallel] C2 seed=1079 done (76/100): runtime=238.2s n_rt=5,259 n_sub=26
2026-05-14 12:44:10,084 [INFO] [parallel] C2 seed=1080 done (77/100): runtime=183.8s n_rt=4,468 n_sub=11
2026-05-14 12:44:48,615 [INFO] [parallel] C2 seed=1078 done (78/100): runtime=366.1s n_rt=3,739 n_sub=12
2026-05-14 12:46:20,896 [INFO] [parallel] C2 seed=1083 done (79/100): runtime=198.8s n_rt=5,465 n_sub=22
2026-05-14 12:47:19,105 [INFO] [parallel] C2 seed=1075 done (80/100): runtime=571.3s n_rt=4,839 n_sub=8
2026-05-14 12:47:25,738 [INFO] [parallel] C2 seed=1084 done (81/100): runtime=195.3s n_rt=3,823 n_sub=11
2026-05-14 12:47:55,098 [INFO] [parallel] C2 seed=1074 done (82/100): runtime=610.0s n_rt=4,263 n_sub=6
2026-05-14 12:48:55,291 [INFO] [parallel] C2 seed=1070 done (83/100): runtime=808.9s n_rt=3,317 n_sub=7
2026-05-14 12:49:04,457 [INFO] [parallel] C2 seed=1082 done (84/100): runtime=367.3s n_rt=4,416 n_sub=10
2026-05-14 12:49:48,037 [INFO] [parallel] C2 seed=1086 done (85/100): runtime=206.8s n_rt=3,457 n_sub=14
2026-05-14 12:50:36,323 [INFO] [parallel] C2 seed=1085 done (86/100): runtime=347.3s n_rt=4,571 n_sub=9
2026-05-14 12:50:44,861 [INFO] [parallel] C2 seed=1088 done (87/100): runtime=198.9s n_rt=2,510 n_sub=4
2026-05-14 12:51:09,435 [INFO] [parallel] C2 seed=1081 done (88/100): runtime=598.6s n_rt=2,965 n_sub=5
2026-05-14 12:51:43,915 [INFO] [parallel] C2 seed=1089 done (89/100): runtime=228.1s n_rt=7,418 n_sub=18
2026-05-14 12:51:57,491 [INFO] [parallel] C2 seed=1091 done (90/100): runtime=172.7s n_rt=3,669 n_sub=6
2026-05-14 12:52:26,967 [INFO] [parallel] C2 seed=1087 done (91/100): runtime=307.4s n_rt=4,460 n_sub=11
2026-05-14 12:54:19,154 [INFO] [parallel] C2 seed=1093 done (92/100): runtime=222.3s n_rt=5,289 n_sub=23
2026-05-14 12:54:42,989 [INFO] [parallel] C2 seed=1097 done (93/100): runtime=165.0s n_rt=5,068 n_sub=16
2026-05-14 12:54:59,453 [INFO] [parallel] C2 seed=1094 done (94/100): runtime=254.2s n_rt=4,376 n_sub=11
2026-05-14 12:55:04,123 [INFO] [parallel] C2 seed=1092 done (95/100): runtime=315.7s n_rt=5,286 n_sub=18
2026-05-14 12:55:11,548 [INFO] [parallel] C2 seed=1090 done (96/100): runtime=376.0s n_rt=4,263 n_sub=12
2026-05-14 12:55:31,021 [INFO] [parallel] C2 seed=1095 done (97/100): runtime=261.3s n_rt=4,403 n_sub=9
2026-05-14 12:55:32,716 [INFO] [parallel] C2 seed=1096 done (98/100): runtime=228.6s n_rt=3,219 n_sub=8
2026-05-14 12:56:27,786 [INFO] [parallel] C2 seed=1099 done (99/100): runtime=128.4s n_rt=4,299 n_sub=11
2026-05-14 12:57:06,680 [INFO] [parallel] C2 seed=1098 done (100/100): runtime=279.6s n_rt=4,044 n_sub=11
2026-05-14 12:57:06,721 [INFO] [parallel] cond=C2 all done: total=3863.9s, throughput=0.03 trial/s
2026-05-14 12:57:06,722 [INFO] [parallel] cond=C3 n_seeds=100 n_workers=8 out=/Users/hasegawayuito/Documents/GitHub/speculation-game-info/experiments/YH006_1/data/C3
2026-05-14 13:00:42,897 [INFO] [parallel] C3 seed=1002 done (1/100): runtime=214.0s n_rt=3,833 n_sub=49
2026-05-14 13:00:52,446 [INFO] [parallel] C3 seed=1000 done (2/100): runtime=223.5s n_rt=3,876 n_sub=61
2026-05-14 13:01:09,959 [INFO] [parallel] C3 seed=1006 done (3/100): runtime=241.0s n_rt=4,040 n_sub=49
2026-05-14 13:01:23,133 [INFO] [parallel] C3 seed=1004 done (4/100): runtime=254.2s n_rt=4,076 n_sub=37
2026-05-14 13:01:31,709 [INFO] [parallel] C3 seed=1001 done (5/100): runtime=262.7s n_rt=4,920 n_sub=61
2026-05-14 13:01:46,427 [INFO] [parallel] C3 seed=1005 done (6/100): runtime=277.4s n_rt=4,734 n_sub=52
2026-05-14 13:03:37,695 [INFO] [parallel] C3 seed=1003 done (7/100): runtime=388.8s n_rt=3,832 n_sub=65
2026-05-14 13:04:29,117 [INFO] [parallel] C3 seed=1010 done (8/100): runtime=200.8s n_rt=3,495 n_sub=36
2026-05-14 13:05:30,090 [INFO] [parallel] C3 seed=1007 done (9/100): runtime=502.9s n_rt=5,711 n_sub=57
2026-05-14 13:05:34,943 [INFO] [parallel] C3 seed=1013 done (10/100): runtime=230.1s n_rt=4,648 n_sub=48
2026-05-14 13:05:38,364 [INFO] [parallel] C3 seed=1009 done (11/100): runtime=287.3s n_rt=5,858 n_sub=63
2026-05-14 13:05:56,323 [INFO] [parallel] C3 seed=1011 done (12/100): runtime=274.8s n_rt=4,565 n_sub=42
2026-05-14 13:06:22,366 [INFO] [parallel] C3 seed=1014 done (13/100): runtime=166.2s n_rt=4,775 n_sub=50
2026-05-14 13:07:41,181 [INFO] [parallel] C3 seed=1012 done (14/100): runtime=370.8s n_rt=6,472 n_sub=59
2026-05-14 13:08:15,198 [INFO] [parallel] C3 seed=1016 done (15/100): runtime=164.6s n_rt=4,774 n_sub=43
2026-05-14 13:09:00,704 [INFO] [parallel] C3 seed=1020 done (16/100): runtime=157.8s n_rt=4,967 n_sub=67
2026-05-14 13:09:22,903 [INFO] [parallel] C3 seed=1018 done (17/100): runtime=224.0s n_rt=6,406 n_sub=67
2026-05-14 13:09:24,052 [INFO] [parallel] C3 seed=1017 done (18/100): runtime=228.7s n_rt=4,615 n_sub=57
2026-05-14 13:09:49,829 [INFO] [parallel] C3 seed=1015 done (19/100): runtime=320.3s n_rt=3,978 n_sub=47
2026-05-14 13:10:01,330 [INFO] [parallel] C3 seed=1008 done (20/100): runtime=560.0s n_rt=4,760 n_sub=62
2026-05-14 13:10:30,603 [INFO] [parallel] C3 seed=1019 done (21/100): runtime=273.7s n_rt=6,416 n_sub=56
2026-05-14 13:11:16,152 [INFO] [parallel] C3 seed=1021 done (22/100): runtime=214.6s n_rt=3,394 n_sub=39
2026-05-14 13:12:03,747 [INFO] [parallel] C3 seed=1025 done (23/100): runtime=159.3s n_rt=4,275 n_sub=55
2026-05-14 13:13:01,719 [INFO] [parallel] C3 seed=1023 done (24/100): runtime=240.5s n_rt=5,765 n_sub=56
2026-05-14 13:13:55,694 [INFO] [parallel] C3 seed=1022 done (25/100): runtime=340.1s n_rt=3,933 n_sub=48
2026-05-14 13:14:08,174 [INFO] [parallel] C3 seed=1026 done (26/100): runtime=257.9s n_rt=4,917 n_sub=48
2026-05-14 13:15:27,471 [INFO] [parallel] C3 seed=1027 done (27/100): runtime=325.7s n_rt=4,395 n_sub=32
2026-05-14 13:15:28,897 [INFO] [parallel] C3 seed=1030 done (28/100): runtime=204.3s n_rt=7,627 n_sub=70
2026-05-14 13:17:15,323 [INFO] [parallel] C3 seed=1032 done (29/100): runtime=199.3s n_rt=3,257 n_sub=38
2026-05-14 13:18:18,442 [INFO] [parallel] C3 seed=1033 done (30/100): runtime=249.8s n_rt=5,424 n_sub=55
2026-05-14 13:19:02,210 [INFO] [parallel] C3 seed=1024 done (31/100): runtime=578.9s n_rt=4,648 n_sub=58
2026-05-14 13:19:13,116 [INFO] [parallel] C3 seed=1031 done (32/100): runtime=371.0s n_rt=3,851 n_sub=39
2026-05-14 13:19:27,238 [INFO] [parallel] C3 seed=1029 done (33/100): runtime=490.5s n_rt=6,429 n_sub=70
2026-05-14 13:19:54,459 [INFO] [parallel] C3 seed=1034 done (34/100): runtime=266.5s n_rt=5,422 n_sub=58
2026-05-14 13:20:55,873 [INFO] [parallel] C3 seed=1028 done (35/100): runtime=624.8s n_rt=4,624 n_sub=50
2026-05-14 13:21:06,974 [INFO] [parallel] C3 seed=1036 done (36/100): runtime=231.1s n_rt=5,535 n_sub=59
2026-05-14 13:22:50,801 [INFO] [parallel] C3 seed=1037 done (37/100): runtime=271.8s n_rt=5,273 n_sub=64
2026-05-14 13:24:48,633 [INFO] [parallel] C3 seed=1043 done (38/100): runtime=221.3s n_rt=3,746 n_sub=39
2026-05-14 13:24:51,444 [INFO] [parallel] C3 seed=1040 done (39/100): runtime=323.6s n_rt=5,509 n_sub=58
2026-05-14 13:25:12,775 [INFO] [parallel] C3 seed=1039 done (40/100): runtime=359.1s n_rt=5,787 n_sub=59
2026-05-14 13:25:36,638 [INFO] [parallel] C3 seed=1041 done (41/100): runtime=341.6s n_rt=6,154 n_sub=57
2026-05-14 13:25:47,755 [INFO] [parallel] C3 seed=1038 done (42/100): runtime=405.1s n_rt=4,480 n_sub=58
2026-05-14 13:26:27,725 [INFO] [parallel] C3 seed=1042 done (43/100): runtime=331.1s n_rt=7,671 n_sub=65
2026-05-14 13:27:39,534 [INFO] [parallel] C3 seed=1044 done (44/100): runtime=288.3s n_rt=4,072 n_sub=32
2026-05-14 13:28:32,812 [INFO] [parallel] C3 seed=1035 done (45/100): runtime=783.3s n_rt=6,158 n_sub=63
2026-05-14 13:29:08,185 [INFO] [parallel] C3 seed=1046 done (46/100): runtime=256.4s n_rt=4,226 n_sub=47
2026-05-14 13:30:14,355 [INFO] [parallel] C3 seed=1047 done (47/100): runtime=300.9s n_rt=6,729 n_sub=68
2026-05-14 13:31:42,278 [INFO] [parallel] C3 seed=1049 done (48/100): runtime=354.1s n_rt=4,392 n_sub=47
2026-05-14 13:31:57,715 [INFO] [parallel] C3 seed=1050 done (49/100): runtime=329.7s n_rt=3,118 n_sub=74
2026-05-14 13:32:43,785 [INFO] [parallel] C3 seed=1045 done (50/100): runtime=474.6s n_rt=5,829 n_sub=67
2026-05-14 13:33:05,832 [INFO] [parallel] C3 seed=1053 done (51/100): runtime=237.2s n_rt=5,256 n_sub=50
2026-05-14 13:33:45,019 [INFO] [parallel] C3 seed=1054 done (52/100): runtime=210.4s n_rt=3,058 n_sub=33
2026-05-14 13:33:53,460 [INFO] [parallel] C3 seed=1051 done (53/100): runtime=373.4s n_rt=4,331 n_sub=56
2026-05-14 13:34:36,161 [INFO] [parallel] C3 seed=1056 done (54/100): runtime=158.0s n_rt=4,118 n_sub=46
2026-05-14 13:34:36,827 [INFO] [parallel] C3 seed=1052 done (55/100): runtime=363.5s n_rt=5,903 n_sub=53
