2026-06-11 09:27:57,709 [INFO] ======================================================================
2026-06-11 09:27:57,709 [INFO] S6r A4 ablation — conds=['C2_A4', 'C3_A4'], K=121, n_trials=100, n_workers=8
2026-06-11 09:27:57,709 [INFO] ======================================================================
2026-06-11 09:27:57,712 [INFO] [c3-check] C3 seed=1000 を A4 分岐追加後 code で実行
2026-06-11 09:29:44,604 [INFO] [c3-check] rt_df: MATCH | lifetimes: MATCH
2026-06-11 09:29:44,604 [INFO] [smoke] C3_A4 seed=1000 K=121 を 1 run
2026-06-11 09:31:17,850 [INFO] [smoke] PASS: runtime=93.1s n_rt=3669 n_sub=58 n_shuffles=12
2026-06-11 09:31:17,851 [INFO] [guard] C3_A4 seed=1000 × 2 runs (K=121)
2026-06-11 09:34:25,767 [INFO] [guard] rt_df: MATCH | lifetimes: MATCH
2026-06-11 09:34:25,768 [INFO] [parallel] cond=C2_A4 n_seeds=100 n_workers=8 out=/Users/hasegawayuito/Documents/GitHub/speculation-game-info/experiments/YH006_1/data/C2_A4
2026-06-11 09:37:56,771 [INFO] [parallel] C2_A4 seed=1003 done (1/100): runtime=208.5s n_rt=5,047 n_sub=36
2026-06-11 09:38:09,857 [INFO] [parallel] C2_A4 seed=1006 done (2/100): runtime=221.6s n_rt=5,318 n_sub=29
2026-06-11 09:38:21,197 [INFO] [parallel] C2_A4 seed=1002 done (3/100): runtime=232.9s n_rt=5,759 n_sub=28
2026-06-11 09:39:21,806 [INFO] [parallel] C2_A4 seed=1000 done (4/100): runtime=293.6s n_rt=4,240 n_sub=21
2026-06-11 09:39:32,767 [INFO] [parallel] C2_A4 seed=1004 done (5/100): runtime=304.6s n_rt=4,239 n_sub=31
2026-06-11 09:40:03,755 [INFO] [parallel] C2_A4 seed=1007 done (6/100): runtime=335.6s n_rt=4,173 n_sub=22
2026-06-11 09:40:09,450 [INFO] [parallel] C2_A4 seed=1009 done (7/100): runtime=119.3s n_rt=3,145 n_sub=8
2026-06-11 09:41:42,397 [INFO] [parallel] C2_A4 seed=1010 done (8/100): runtime=200.7s n_rt=4,798 n_sub=16
2026-06-11 09:42:14,530 [INFO] [parallel] C2_A4 seed=1011 done (9/100): runtime=172.2s n_rt=6,239 n_sub=37
2026-06-11 09:42:51,163 [INFO] [parallel] C2_A4 seed=1014 done (10/100): runtime=161.3s n_rt=4,438 n_sub=9
2026-06-11 09:42:51,694 [INFO] [parallel] C2_A4 seed=1001 done (11/100): runtime=503.5s n_rt=4,225 n_sub=22
2026-06-11 09:43:32,874 [INFO] [parallel] C2_A4 seed=1005 done (12/100): runtime=544.7s n_rt=3,951 n_sub=14
2026-06-11 09:43:44,897 [INFO] [parallel] C2_A4 seed=1013 done (13/100): runtime=220.4s n_rt=7,906 n_sub=39
2026-06-11 09:44:48,333 [INFO] [parallel] C2_A4 seed=1008 done (14/100): runtime=411.1s n_rt=4,678 n_sub=18
2026-06-11 09:45:26,606 [INFO] [parallel] C2_A4 seed=1016 done (15/100): runtime=191.6s n_rt=5,328 n_sub=21
2026-06-11 09:45:51,903 [INFO] [parallel] C2_A4 seed=1018 done (16/100): runtime=179.8s n_rt=4,913 n_sub=29
2026-06-11 09:46:14,824 [INFO] [parallel] C2_A4 seed=1017 done (17/100): runtime=203.4s n_rt=2,690 n_sub=15
2026-06-11 09:46:16,999 [INFO] [parallel] C2_A4 seed=1020 done (18/100): runtime=151.6s n_rt=4,002 n_sub=12
2026-06-11 09:47:30,021 [INFO] [parallel] C2_A4 seed=1015 done (19/100): runtime=347.3s n_rt=3,536 n_sub=20
2026-06-11 09:48:48,247 [INFO] [parallel] C2_A4 seed=1025 done (20/100): runtime=150.8s n_rt=5,367 n_sub=21
2026-06-11 09:48:55,946 [INFO] [parallel] C2_A4 seed=1019 done (21/100): runtime=322.5s n_rt=5,966 n_sub=26
2026-06-11 09:49:05,055 [INFO] [parallel] C2_A4 seed=1021 done (22/100): runtime=255.8s n_rt=10,065 n_sub=42
2026-06-11 09:51:33,179 [INFO] [parallel] C2_A4 seed=1012 done (23/100): runtime=720.0s n_rt=4,399 n_sub=23
2026-06-11 09:51:59,083 [INFO] [parallel] C2_A4 seed=1026 done (24/100): runtime=268.4s n_rt=6,574 n_sub=36
2026-06-11 09:52:33,313 [INFO] [parallel] C2_A4 seed=1028 done (25/100): runtime=217.0s n_rt=3,810 n_sub=18
2026-06-11 09:52:34,874 [INFO] [parallel] C2_A4 seed=1023 done (26/100): runtime=402.5s n_rt=5,228 n_sub=23
2026-06-11 09:53:01,024 [INFO] [parallel] C2_A4 seed=1029 done (27/100): runtime=235.5s n_rt=5,348 n_sub=26
2026-06-11 09:53:22,005 [INFO] [parallel] C2_A4 seed=1022 done (28/100): runtime=475.0s n_rt=3,960 n_sub=23
